Reporting date,Company Name,ABN,Segment,Sub-segment,Restriction on authorisation,Gross written premium,Gross earned premium,"Of which:Fire service levy",Outwards reinsurance expense,Net earned premium,Gross incurred claims,"Of which:Paid claims","Of which:Movement in outstanding claims liabilities",Reinsurance recoveries revenue,Non-reinsurance recoveries revenue,Net incurred claims,Of which: Current period net claims expense,Of which: Non-recurring items that are part of net claims,Acquisition costs (excluding LAT),Results of liability adequacy tests,Levies and charges,Commission revenue,Commission expense,Other underwriting expenses,Total underwriting expenses,Underwriting result,Investment income on assets backing insurance liabilities,Investment expenses on assets backing insurance liabilities,Insurance result,Investment income on shareholders funds,Other operating expenses,Other operating income,Income tax expense from continuing operations,Other profit and loss items,Net profit/loss after tax
30/06/2023,Avant Insurance Limited,82003707471,Direct insurer,Commercial lines insurers,,104,74,0,2,71,23,82,-59,0,-3,25,87,-62,10,0,3,0,0,0,14,32,-6,0,26,12,58,43,6,0,17
30/06/2023,Barristers' Sickness & Accident Fund Pty Ltd,78600371397,Direct insurer,Other direct insurers,Captive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30/06/2023,Berkley Insurance Company,53126559706,Direct insurer,Commercial lines insurers,,117,118,0,14,104,52,28,24,13,0,39,60,-21,0,0,0,1,22,0,21,44,-7,0,37,-2,7,1,4,0,24
30/06/2023,Berkshire Hathaway Specialty Insurance Company,84600643034,Direct insurer,Commercial lines insurers,,241,167,4,102,65,71,62,8,41,-1,31,32,0,0,0,4,16,13,0,1,33,3,0,36,2,16,1,7,0,17
30/06/2023,BHP Marine & General Insurances Pty Ltd,79004958178,Direct insurer,Commercial lines insurers,Captive,0,7,0,0,6,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,27,0,-1,6,0,25
30/06/2023,Boral Insurance Pty Limited,67000736318,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Catholic Church Insurance Limited,76000005210,Direct insurer,Commercial lines insurers,,18,95,3,61,34,183,97,86,40,0,143,45,98,1,20,3,4,0,25,46,-155,13,0,-142,-8,9,1,0,0,-159
30/06/2023,Chubb Insurance Australia Ltd,23001642020,Direct insurer,Commercial lines insurers,,670,559,15,197,362,171,225,-54,-1,7,165,186,-22,15,2,15,17,80,17,111,86,-46,0,40,-44,13,2,-5,0,-12
30/06/2023,CIC Allianz Insurance Limited,56094802801,Direct insurer,Direct insurers from large groups,,0,0,0,0,0,-27,13,-41,-24,-3,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Commonwealth Steamship Insurance Company Proprietary Limited,86004127431,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Compagnie Francaise D'Assurance Pour Le Commerce Exterieur,60130761116,Direct insurer,Other direct insurers,,8,7,0,3,4,9,2,6,4,1,4,5,-1,0,0,0,0,1,0,1,-1,0,0,-1,0,3,1,0,0,-3
30/06/2023,Corrvas Insurance Pty Ltd,92088684799,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Credicorp Insurance Pty. Ltd.,50069196756,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Domestic & General Insurance PLC,11124040768,Direct insurer,Other direct insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30/06/2023,Employers Mutual Limited,67000006486,Direct insurer,Commercial lines insurers,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,6,0,11
30/06/2023,Eric Insurance Limited,18009129793,Direct insurer,Other direct insurers,,3,10,0,0,10,5,8,-3,0,1,4,5,0,0,0,0,0,5,0,5,1,0,0,1,0,3,0,0,0,-2
30/06/2023,Factory Mutual Insurance Company,47163108861,Direct insurer,Commercial lines insurers,,130,110,7,48,62,5,89,-84,1,0,4,-7,12,1,0,7,6,0,0,2,55,3,0,59,0,15,-1,13,0,30
30/06/2023,First American Title Insurance Company of Australia Pty Limited,64075279908,Direct insurer,Other direct insurers,,4,4,0,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,3,1,0,0,2
30/06/2023,General Reinsurance Australia Ltd,16008427450,Reinsurer,Reinsurer,,42,53,0,21,31,15,41,-26,13,0,1,5,-4,6,2,0,0,0,0,9,21,-2,0,20,0,0,0,6,0,14
30/06/2023,Gordian Runoff Limited,11052179647,Reinsurer,Reinsurer,Run-off,0,0,0,0,0,-2,6,-9,-2,1,-1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,-1
30/06/2023,Great Lakes Insurance SE,18964580576,Direct insurer,Personal lines insurers,,28,43,1,43,0,30,18,11,29,0,0,0,0,0,0,1,11,7,0,-3,3,0,0,4,0,3,0,0,0,0
30/06/2023,Guild Insurance Limited,55004538863,Direct insurer,Commercial lines insurers,,126,73,3,25,48,21,36,-16,-10,7,23,68,-45,5,0,0,9,11,0,6,19,-1,0,18,0,18,0,-1,0,1
30/06/2023,Hallmark General Insurance Company Ltd.,82008477647,Direct insurer,Personal lines insurers,,3,4,0,0,4,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,2,0,0,0,1
30/06/2023,Hannover Ruck SE,88002927031,Reinsurer,Reinsurer,,287,339,0,36,303,260,198,62,25,0,235,216,19,0,0,0,2,55,0,53,15,-18,0,-2,-3,6,1,-3,0,-8
30/06/2023,HDI Global SE,55490279016,Direct insurer,Commercial lines insurers,,188,111,3,59,52,64,51,13,36,0,27,9,18,4,0,3,11,5,2,3,22,-2,0,20,0,4,0,5,0,11
30/06/2023,HDI Global Specialty SE,58129395544,Direct insurer,Commercial lines insurers,,106,103,2,91,12,73,52,21,65,0,8,9,-1,0,0,2,24,22,0,-1,5,1,0,6,0,5,1,0,0,1
30/06/2023,Helia Indemnity Limited,55001825725,Direct insurer,Lenders mortgage insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Helia Insurance Pty Limited,60106974305,Direct insurer,Lenders mortgage insurers,LMI,46,107,0,10,97,-30,7,-37,0,-1,-29,1,-29,7,0,0,0,0,18,25,100,-19,0,81,9,5,-2,25,0,58
30/06/2023,Hollard Insurance Partners Limited,96067524216,Direct insurer,Personal lines insurers,,237,235,8,31,204,114,210,-96,9,9,96,116,-20,0,2,8,0,18,14,43,65,3,0,68,3,1,0,21,0,49
30/06/2023,Hospitality Industry Insurance Limited,34124091470,Direct insurer,Commercial lines insurers,,69,23,0,7,16,2,12,-10,1,0,2,10,-8,0,0,1,3,1,5,4,11,-1,0,10,-1,1,0,2,0,6
30/06/2023,Insurance Australia Limited,11000016722,Direct insurer,Direct insurers from large groups,,"3,043","2,432",63,"1,813",619,488,"1,912","-1,425",150,149,188,449,-261,99,0,28,241,179,99,165,266,-25,0,242,17,130,97,71,0,155
30/06/2023,Insurance Manufacturers of Australia Pty Limited,93004208084,Direct insurer,Direct insurers from large groups,,"1,225","1,164",59,84,"1,080",738,919,-180,81,82,576,595,-19,125,0,39,0,44,28,237,268,13,1,279,8,0,0,90,0,196
30/06/2023,Lawcover Insurance Pty Limited,15095082509,Direct insurer,Commercial lines insurers,,101,24,0,3,20,20,17,3,5,0,15,11,4,0,0,0,0,0,6,6,0,-1,0,-2,0,0,0,0,0,-1
30/06/2023,LFI Group Pty Ltd,31138903581,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Liberty Mutual Insurance Company,61086083605,Direct insurer,Commercial lines insurers,,332,264,1,108,156,63,66,-3,1,12,50,84,-34,-1,-3,1,21,25,0,1,105,-38,0,67,-4,34,2,9,0,22
30/06/2023,MDA National Insurance Pty Ltd,56058271417,Direct insurer,Commercial lines insurers,,33,24,0,2,22,3,17,-14,-4,-4,11,16,-5,0,0,0,0,0,1,1,10,1,0,11,0,7,0,0,0,4
30/06/2023,Medical Insurance Australia Pty Limited,99092709629,Direct insurer,Commercial lines insurers,,60,18,0,2,16,19,37,-18,1,3,15,14,1,0,0,0,0,0,0,0,1,0,0,1,0,5,1,-1,0,-2
30/06/2023,MetLife General Insurance Limited,64004195895,Direct insurer,Commercial lines insurers,Run-off,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
30/06/2023,MIPS Insurance Pty Ltd,81089048359,Direct insurer,Commercial lines insurers,,64,13,0,1,12,1,13,-12,-6,0,7,13,-6,0,0,1,0,0,0,0,5,1,0,5,0,1,0,1,0,3
30/06/2023,"Mitsui Sumitomo Insurance Company, Limited",49000525637,Direct insurer,Other direct insurers,,51,45,1,33,13,12,22,-10,6,0,6,9,-3,0,0,1,12,11,0,0,6,1,0,7,1,3,0,0,0,6
30/06/2023,Munchener Ruckversicherungs-Gesellschaft (Munich Reinsurance Company),90009763526,Reinsurer,Reinsurer,,459,552,0,89,463,495,373,121,223,0,272,317,-45,0,0,0,0,118,0,118,73,-48,1,24,-48,13,-2,21,0,-58
30/06/2023,NorthStandard Limited,33624528123,Direct insurer,Commercial lines insurers,,6,5,0,1,4,1,2,-1,1,0,0,1,-1,1,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,2
30/06/2023,OnePath General Insurance Pty Limited,56072892365,Direct insurer,Personal lines insurers,,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1
30/06/2023,Optus Insurance Services Pty Limited,12005711928,Direct insurer,Personal lines insurers,,9,9,0,0,9,4,4,0,0,1,3,3,0,1,0,0,0,0,0,1,5,0,0,6,0,10,0,-1,0,-3
30/06/2023,Pacific International Insurance Pty Limited,83169311193,Direct insurer,Commercial lines insurers,,78,63,0,46,17,31,26,5,20,2,8,8,0,0,0,0,25,26,1,3,6,1,0,7,0,7,2,0,0,1
30/06/2023,Petsure (Australia) Pty Ltd,95075949923,Direct insurer,Other direct insurers,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,23,1,0,6
30/06/2023,QBE Insurance (Australia) Limited,78003191035,Direct insurer,Direct insurers from large groups,,"2,293","1,865",37,246,"1,618","1,158","1,292",-135,105,189,864,954,-90,44,11,45,18,308,140,530,225,4,0,228,1,5,8,72,0,161
30/06/2023,QBE Insurance (International) Pty Limited,11000000948,Direct insurer,Direct insurers from large groups,,12,18,0,7,11,5,5,0,1,1,3,3,0,1,0,0,1,3,2,5,4,1,0,5,2,0,0,1,0,5
30/06/2023,QBE Lenders' Mortgage Insurance Limited,70000511071,Direct insurer,Lenders mortgage insurers,LMI,37,68,0,38,29,-44,4,-48,-22,-2,-21,10,-31,6,0,0,16,1,0,-9,59,5,0,64,7,8,0,24,0,39
30/06/2023,RAA Insurance Limited,14007872602,Direct insurer,Personal lines insurers,,126,115,0,19,96,137,139,-2,29,16,92,74,18,11,8,0,0,11,2,32,-29,1,0,-28,1,7,0,-10,0,-24
30/06/2023,RAC Insurance Pty Limited,59094685882,Direct insurer,Personal lines insurers,,281,248,0,26,223,212,201,11,11,25,176,170,6,17,0,0,0,0,0,17,29,2,0,31,-2,24,2,2,0,4
30/06/2023,RACQ Insurance Limited,50009704152,Direct insurer,Personal lines insurers,,374,341,0,410,-69,125,300,-175,271,20,-167,160,-327,19,-3,1,14,9,4,16,82,-2,0,79,0,12,1,21,0,47
30/06/2023,RACT Insurance Pty. Ltd.,96068167804,Direct insurer,Personal lines insurers,,41,36,0,5,32,21,24,-3,1,3,17,17,0,3,0,0,0,5,0,7,8,0,0,9,0,0,0,3,0,6
30/06/2023,RenaissanceRe Europe AG,12146546661,Reinsurer,Reinsurer,,7,14,0,3,11,3,20,-17,1,0,3,5,-2,0,0,0,0,2,0,2,7,-2,0,4,-1,3,0,0,0,1
30/06/2023,SCOR Reinsurance Asia-Pacific Pte. Ltd.,85071103092,Reinsurer,Reinsurer,,13,49,0,30,19,43,55,-12,17,0,26,20,6,0,0,0,5,6,0,2,-9,-4,0,-13,-5,1,4,-4,0,-11
30/06/2023,SiriusPoint International Forsakringsaktiebolag (publ),26764933001,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,Sompo Japan Insurance Inc.,26061428775,Direct insurer,Commercial lines insurers,,26,23,0,19,4,8,3,6,6,0,2,-9,11,0,0,0,3,3,0,0,2,0,0,2,1,2,0,0,0,1
30/06/2023,Southern Cross Benefits Limited,99133401939,Direct insurer,Personal lines insurers,,7,6,0,0,5,2,2,1,0,0,2,2,0,1,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0
30/06/2023,Sovereign Insurance Australia Pty Ltd,85138079286,Direct insurer,Other direct insurers,,14,4,0,4,0,2,2,0,2,0,-1,-1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,-1
30/06/2023,St Andrew's Insurance (Australia) Pty Ltd,89075044656,Direct insurer,Personal lines insurers,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30/06/2023,StateCover Mutual Limited,36090394755,Direct insurer,Commercial lines insurers,,106,28,0,0,28,5,16,-11,-2,0,8,20,-12,2,0,0,0,0,0,2,18,-4,0,14,-1,7,0,0,0,7
30/06/2023,Stewart Title Limited,59101720101,Direct insurer,Other direct insurers,,7,7,0,0,7,3,1,1,0,0,3,0,2,1,0,0,0,0,0,1,4,0,0,4,0,1,0,1,0,2
30/06/2023,Swiss Re Asia Pte. Ltd.,19631490447,Reinsurer,Reinsurer,,227,276,0,81,195,183,324,-141,65,-1,119,113,6,3,0,0,0,48,0,51,25,0,0,25,1,57,37,2,0,4
30/06/2023,Swiss Re International SE,38138873211,Direct insurer,Commercial lines insurers,,94,113,4,172,-59,18,51,-32,121,0,-103,102,-205,4,0,4,1,11,0,18,27,3,0,30,0,8,1,7,0,16
30/06/2023,The Hollard Insurance Company Pty Ltd,78090584473,Direct insurer,Personal lines insurers,,548,511,7,106,404,289,372,-84,50,21,218,248,-30,24,7,7,32,113,1,122,65,4,0,69,9,51,-2,7,0,18
30/06/2023,The New India Assurance Co Ltd,93000151593,Reinsurer,Reinsurer,,1,1,0,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
30/06/2023,"Tokio Marine & Nichido Fire Insurance Co., Ltd.",80000438291,Direct insurer,Commercial lines insurers,,64,59,1,12,47,15,41,-25,0,1,14,12,3,8,0,1,2,15,0,21,11,4,0,15,1,6,4,0,0,14
30/06/2023,Transatlantic Reinsurance Company,96096053226,Reinsurer,Reinsurer,,8,18,0,13,5,43,21,22,24,0,19,4,15,0,0,0,3,3,0,0,-13,1,0,-12,1,2,0,-4,0,-10
30/06/2023,TT Club Mutual Insurance Limited,31129394618,Direct insurer,Commercial lines insurers,,9,5,0,4,1,2,1,1,-3,0,5,0,5,0,0,0,1,0,0,0,-4,0,0,-3,0,0,0,0,0,-3
30/06/2023,"Virginia Surety Company, Inc.",63080339957,Direct insurer,Other direct insurers,,2,9,0,0,9,5,5,0,0,0,5,6,0,0,1,0,0,2,0,3,0,-2,0,-2,-1,1,0,-1,0,-2
30/06/2023,XL Insurance Company SE,36083570441,Direct insurer,Commercial lines insurers,,282,220,4,148,71,45,111,-66,7,0,38,35,3,24,0,5,40,0,0,-11,45,-4,0,40,-4,18,-2,6,0,11
30/06/2023,Youi Pty Ltd,79123074733,Direct insurer,Personal lines insurers,,369,329,5,45,283,209,197,13,5,41,163,161,2,25,0,5,2,11,0,39,81,6,0,87,5,55,0,11,0,26
30/06/2023,Zurich Australian Insurance Limited,13000296640,Direct insurer,Commercial lines insurers,,613,491,6,87,404,274,273,1,52,32,190,210,-20,0,0,6,6,117,26,143,71,-7,0,64,-6,7,2,17,0,36
31/03/2023,AAI Limited,48005297807,Direct insurer,Direct insurers from large groups,,"2,450","2,460",34,294,"2,166","2,098","2,084",14,123,148,"1,827","1,713",115,221,0,35,20,62,109,407,-68,261,0,193,93,45,19,77,0,183
31/03/2023,Achmea Schadeverzekeringen N.V.,86158237702,Direct insurer,Commercial lines insurers,,61,24,1,2,22,30,17,14,2,1,27,26,1,0,-3,1,0,0,0,-2,-3,1,0,-2,0,8,0,0,0,-11
31/03/2023,AIG Australia Limited,93004727753,Direct insurer,Commercial lines insurers,,94,244,3,125,119,-98,102,-200,-189,2,90,76,14,9,0,3,31,23,3,8,21,20,0,41,22,26,2,12,0,26
31/03/2023,Aioi Nissay Dowa Insurance Company Australia Pty Ltd,11132524282,Direct insurer,Personal lines insurers,,58,54,0,8,46,47,37,10,2,14,31,32,0,0,2,0,0,7,0,9,6,1,0,7,1,9,0,0,0,-1
31/03/2023,Aioi Nissay Dowa Insurance Company Limited,39096302466,Direct insurer,Personal lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Allianz Australia General Insurance Limited,99003719319,Direct insurer,Direct insurers from large groups,,2,2,0,2,0,18,63,-45,22,-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31/03/2023,Allianz Australia Insurance Limited,15000122850,Direct insurer,Direct insurers from large groups,,"1,523","1,626",28,182,"1,445","1,549","1,299",251,123,186,"1,241","1,060",181,114,0,28,14,161,57,347,-144,133,2,-13,53,69,68,12,0,27
31/03/2023,Allied World Assurance Company Limited,54163304907,Direct insurer,Commercial lines insurers,,22,40,1,19,21,27,16,11,11,0,16,15,1,0,0,1,4,3,0,0,5,2,0,7,1,4,0,0,0,4
31/03/2023,Ansvar Insurance Limited,21007216506,Direct insurer,Commercial lines insurers,,29,43,1,25,18,22,27,-5,10,1,11,10,1,8,0,1,4,4,0,10,-3,7,0,4,1,1,0,1,0,3
31/03/2023,ANZ Lenders Mortgage Insurance Pty. Limited,77008680055,Direct insurer,Lenders mortgage insurers,LMI,19,24,0,6,18,5,2,2,1,0,3,3,0,0,0,0,5,0,0,-5,20,6,1,25,0,1,0,7,0,17
31/03/2023,Arch Lenders Mortgage Indemnity Limited,60074042934,Direct insurer,Lenders mortgage insurers,LMI,39,68,0,52,16,5,1,5,3,0,2,3,-1,0,0,0,14,0,0,-14,28,3,0,30,14,8,0,11,0,25
31/03/2023,Aspen Insurance UK Limited,33128637650,Reinsurer,Reinsurer,,2,3,0,3,1,4,16,-12,5,0,-1,-3,2,0,0,0,1,0,0,0,2,1,0,3,1,0,-1,0,0,3
31/03/2023,Assetinsure Pty Limited,65066463803,Direct insurer,Commercial lines insurers,,44,31,0,6,25,27,24,3,15,0,12,1,11,3,0,0,1,8,-1,9,4,1,0,5,0,9,10,2,0,3
31/03/2023,Atradius Credito Y Caucion S.A. De Seguros Y Reaseguros,90610834556,Direct insurer,Other direct insurers,,22,22,0,9,14,8,7,1,2,1,5,11,-6,3,0,0,3,0,0,0,8,1,0,9,1,4,1,2,0,6
31/03/2023,Auto & General Insurance Company Limited,42111586353,Direct insurer,Personal lines insurers,,516,445,7,34,411,339,330,9,0,48,291,288,4,0,0,7,0,62,0,69,50,8,0,58,3,40,0,6,0,14
31/03/2023,Avant Insurance Limited,82003707471,Direct insurer,Commercial lines insurers,,18,72,0,4,69,82,55,26,1,15,66,4,61,8,0,3,0,0,0,11,-9,17,0,8,11,37,30,4,0,9
31/03/2023,Barristers' Sickness & Accident Fund Pty Ltd,78600371397,Direct insurer,Other direct insurers,Captive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,1,1,0,0,0,0,2
31/03/2023,Berkley Insurance Company,53126559706,Direct insurer,Commercial lines insurers,,137,117,0,10,107,113,24,89,20,0,92,59,33,0,0,0,1,21,0,21,-5,22,0,16,7,9,0,5,0,9
31/03/2023,Berkshire Hathaway Specialty Insurance Company,84600643034,Direct insurer,Commercial lines insurers,,64,158,4,97,61,52,48,4,30,0,22,27,-5,0,0,4,16,12,0,-1,40,3,0,43,2,13,1,10,0,23
31/03/2023,BHP Marine & General Insurances Pty Ltd,79004958178,Direct insurer,Commercial lines insurers,Captive,0,6,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,5,29,0,1,5,0,30
31/03/2023,Boral Insurance Pty Limited,67000736318,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Catholic Church Insurance Limited,76000005210,Direct insurer,Commercial lines insurers,,58,89,2,41,48,314,306,8,156,0,158,53,104,1,0,3,6,0,20,17,-127,8,0,-119,6,6,0,0,0,-119
31/03/2023,Chubb Insurance Australia Ltd,23001642020,Direct insurer,Commercial lines insurers,,436,517,12,162,355,349,211,139,146,13,190,156,34,42,0,13,11,63,19,126,38,86,0,124,71,13,1,55,0,129
31/03/2023,CIC Allianz Insurance Limited,56094802801,Direct insurer,Direct insurers from large groups,,0,0,0,0,0,1,8,-7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Commonwealth Steamship Insurance Company Proprietary Limited,86004127431,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Compagnie Francaise D'Assurance Pour Le Commerce Exterieur,60130761116,Direct insurer,Other direct insurers,,6,6,0,2,5,12,1,12,3,1,8,9,-1,0,0,0,0,1,0,1,-4,0,0,-4,0,3,1,0,0,-6
31/03/2023,Corrvas Insurance Pty Ltd,92088684799,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Credicorp Insurance Pty. Ltd.,50069196756,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2023,Domestic & General Insurance PLC,11124040768,Direct insurer,Other direct insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31/03/2023,Employers Mutual Limited,67000006486,Direct insurer,Commercial lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,22,2,0,8
31/03/2023,Eric Insurance Limited,18009129793,Direct insurer,Other direct insurers,,2,13,0,0,13,7,8,-1,0,2,5,6,0,0,0,0,0,6,0,6,1,0,0,2,0,3,0,0,0,-1
31/03/2023,Factory Mutual Insurance Company,47163108861,Direct insurer,Commercial lines insurers,,38,102,6,44,57,37,15,22,-1,0,37,34,4,2,-2,4,6,0,0,-2,22,2,0,24,0,12,4,5,0,11
